name,slipNumber,category
エアブレー,1,サルベージ装備
エアクラッコー,1,サルベージ装備
エンリルティアラ,1,サルベージ装備
エンリルガンビスン,1,サルベージ装備
エンリルコッルク,1,サルベージ装備
エンリルブレエット,1,サルベージ装備
エンリルガンビエラ,1,サルベージ装備
モリガンコロナル,1,サルベージ装備
モリガンローブ,1,サルベージ装備
モリガンカフス,1,サルベージ装備
モリガンスロップス,1,サルベージ装備
モリガンピガッシュ,1,サルベージ装備
ネヴァンクラウン,1,サルベージ装備
ネヴァンローブ,1,サルベージ装備
ネヴァンカフス,1,サルベージ装備
ネヴァンスロップス,1,サルベージ装備
ネヴァンサボ,1,サルベージ装備
バーブクラウン,1,サルベージ装備
バーブローブ,1,サルベージ装備
バーブカフス,1,サルベージ装備
バーブスロップス,1,サルベージ装備
バーブピガッシュ,1,サルベージ装備
マッハクラウン,1,サルベージ装備
マッハコート,1,サルベージ装備
マッハカフス,1,サルベージ装備
マッハスロップス,1,サルベージ装備
マッハピガッシュ,1,サルベージ装備
アスカルツッケット,1,ナイズル装備
アスカルコラジン,1,ナイズル装備
アスカルマノポラ,1,ナイズル装備
アスカルディル,1,ナイズル装備
アスカルガンビエラ,1,ナイズル装備
デナリボンネット,1,ナイズル装備
デナリジャケット,1,ナイズル装備
デナリリスト,1,ナイズル装備
デナリケックス,1,ナイズル装備
デナリゲマッシュ,1,ナイズル装備
ゴリアードシャポー,1,ナイズル装備
ゴリアードサイオ,1,ナイズル装備
ゴリアードカフス,1,ナイズル装備
ゴリアードトルーズ,1,ナイズル装備
ゴリアードクロッグ,1,ナイズル装備
ペルデュソード,1,皇国軍戦績武器
ペルデュハンガー,1,皇国軍戦績武器
ペルデュブレード,1,皇国軍戦績武器
ペルデュヴォウジェ,1,皇国軍戦績武器
ペルデュスタッフ,1,皇国軍戦績武器
ペルデュボウ,1,皇国軍戦績武器
ペルデュクロスボウ,1,皇国軍戦績武器
ペルデュワンド,1,皇国軍戦績武器
ペルデュシックル,1,皇国軍戦績武器
ペルワンカランスワ,1,作戦戦績交換品
ペルワンカザガンド,1,作戦戦績交換品
ペルワンダスタナ,1,作戦戦績交換品
ペルワンサラウィル,1,作戦戦績交換品
ペルワンクラッコー,1,作戦戦績交換品
アミールバグリー,1,作戦戦績交換品
アミールコラジン,1,作戦戦績交換品
アミールコッルク,1,作戦戦績交換品
アミールディル,1,作戦戦績交換品
アミールブーツ,1,作戦戦績交換品
イギトターバン,1,作戦戦績交換品
イギトゴムレフ,1,作戦戦績交換品
イギトゲージ,1,作戦戦績交換品
イギトサラウィル,1,作戦戦績交換品
イギトクラッコー,1,作戦戦績交換品
インペリアルカマン,1,作戦戦績交換品
ストームザグナル,1,作戦戦績交換品
ストームファイフ,1,作戦戦績交換品
インペリアルガン,1,作戦戦績交換品
クファンジャル,1,作戦戦績交換品
蛍丸,1,作戦戦績交換品
インペリアルネザ,1,作戦戦績交換品
ストームタバール,1,作戦戦績交換品
ストームタルワール,1,作戦戦績交換品
インペリアルブージ,1,作戦戦績交換品
イギトブラワ,1,作戦戦績交換品
ペルワンパタ,1,作戦戦績交換品
インペリアルポール,1,作戦戦績交換品
小夜左文字,1,作戦戦績交換品
ドゥームブリンガー,1,作戦戦績交換品
リッターゴルゲット,1,闇血アンプル交換品
倶毘羅の数珠,1,闇血アンプル交換品
モルガナチョーカー,1,闇血アンプル交換品
アスランケープ,1,闇血アンプル交換品
グリーマンケープ,1,闇血アンプル交換品
バッカニアベルト,1,闇血アンプル交換品
イオタリング,1,闇血アンプル交換品
オメガリング,1,闇血アンプル交換品
デルタピアス,1,闇血アンプル交換品
ストリンガー＋,1,闇血アンプル交換品
ホフド,1,ヴァルグリンド
バルキリーフォーク,1,ヴァルグリンド
ヴァルハラヘルム,1,ヴァルハラ装備
ヴァルハラブレスト,1,ヴァルハラ装備
ヘカトンキャップ,2,免罪装備
ヘカトンハーネス,2,免罪装備
ヘカトンミトン,2,免罪装備
ヘカトンサブリガ,2,免罪装備
ヘカトンレギンス,2,免罪装備
ヘカトンキャップ+1,2,免罪装備
ヘカトンハーネス+1,2,免罪装備
ヘカトンミトン+1,2,免罪装備
ヘカトンサブリガ+1,2,免罪装備
ヘカトンレギンス+1,2,免罪装備
ケーニヒシャレル,2,免罪装備
ケーニヒキューラス,2,免罪装備
ケーニヒハントシュ,2,免罪装備
ケーニヒディヒリン,2,免罪装備
ケーニヒシュー,2,免罪装備
カイザーシャレル,2,免罪装備
カイザーキューラス,2,免罪装備
カイザーハントシュ,2,免罪装備
カイザーディヒリン,2,免罪装備
カイザーシュー,2,免罪装備
アダマンチェラータ,2,免罪装備
アダマンホーバーク,2,免罪装備
アダマンマフラ,2,免罪装備
アダマンブリーチズ,2,免罪装備
アダマンソルレット,2,免罪装備
アルマダチェラータ,2,免罪装備
アルマダホーバーク,2,免罪装備
アルマダマフラ,2,免罪装備
アルマダブリーチズ,2,免罪装備
アルマダソルレット,2,免罪装備
修羅頭成兜,2,免罪装備
修羅闘着,2,免罪装備
修羅篠篭手,2,免罪装備
修羅板佩楯,2,免罪装備
修羅篠脛当,2,免罪装備
修羅頭成兜改,2,免罪装備
修羅闘着改,2,免罪装備
修羅篠篭手改,2,免罪装備
修羅板佩楯改,2,免罪装備
修羅篠脛当改,2,免罪装備
ゼニスクラウン,2,免罪装備
ダルマティカ,2,免罪装備
ゼニスミトン,2,免罪装備
ゼニスズボン,2,免罪装備
ゼニスパンプス,2,免罪装備
ゼニスクラウン+1,2,免罪装備
ダルマティカ+1,2,免罪装備
ゼニスミトン+1,2,免罪装備
ゼニスズボン+1,2,免罪装備
ゼニスパンプス+1,2,免罪装備
クリムゾンマスク,2,免罪装備
クリムゾンスケイル,2,免罪装備
クリムゾンフィンガ,2,免罪装備
クリムゾンクウィス,2,免罪装備
クリムゾングリーヴ,2,免罪装備
ブラッドマスク,2,免罪装備
ブラッドスケイル,2,免罪装備
ブラッドフィンガー,2,免罪装備
ブラッドクウィス,2,免罪装備
ブラッドグリーヴ,2,免罪装備
シャドウヘルム,2,免罪装備
シャドウプレート,2,免罪装備
シャドウガントレ,2,免罪装備
シャドウクイシュ,2,免罪装備
シャドウサバトン,2,免罪装備
バルキリーヘルム,2,免罪装備
バルキリープレート,2,免罪装備
バルキリーガントレ,2,免罪装備
バルキリークイシュ,2,免罪装備
バルキリーサバトン,2,免罪装備
シャドウハット,2,免罪装備
シャドウコート,2,免罪装備
シャドウカフス,2,免罪装備
シャドウトルーズ,2,免罪装備
シャドウクロッグ,2,免罪装備
バルキリーハット,2,免罪装備
バルキリーコート,2,免罪装備
バルキリーカフス,2,免罪装備
バルキリートルーズ,2,免罪装備
バルキリークロッグ,2,免罪装備
白虎佩楯,2,四神装備
朱雀脛当,2,四神装備
青龍篭手,2,四神装備
玄武兜,2,四神装備
白虎斧,2,四神装備
朱雀戈,2,四神装備
青龍刀,2,四神装備
玄武盾,2,四神装備
ジャスティストルク,2,七元徳
ホープトルク,2,七元徳
プルーデンストルク,2,七元徳
フォーテテュトルク,2,七元徳
フェイストルク,2,七元徳
テンペランストルク,2,七元徳
ラヴトルク,2,七元徳
ジャスティスソード,2,七元徳
ホープスタッフ,2,七元徳
プルーデンスロッド,2,七元徳
フェイスバグナウ,2,七元徳
フォーテテュアクス,2,七元徳
テンペランスアクス,2,七元徳
ラヴハルバード,2,七元徳
慈悲の羽衣,2,七元徳
施療の羽衣,2,七元徳
慧敏の羽衣,2,七元徳
チャージャーマント,2,獣人古銭
イェーガーマント,2,獣人古銭
ボクサーマント,2,獣人古銭
ガンナーマント,2,獣人古銭
ミュージックピアス,2,獣人古銭
ステルスピアス,2,獣人古銭
ロケイシャスピアス,2,獣人古銭
ブルタルピアス,2,獣人古銭
フラーレスリボン,2,獣人古銭
ホマムツッケット,2,リンバス
ホマムコラッツァ,2,リンバス
ホマムマノポラ,2,リンバス
ホマムコッシャレ,2,リンバス
ホマムガンビエラ,2,リンバス
ナシラターバン,2,リンバス
ナシラマンティル,2,リンバス
ナシラゲージ,2,リンバス
ナシラサラウィル,2,リンバス
ナシラクラッコー,2,リンバス
エニフツッケット,2,リンバス
エニフコラッツァ,2,リンバス
エニフマノポラ,2,リンバス
エニフコッシャレ,2,リンバス
エニフガンビエラ,2,リンバス
アダーラターバン,2,リンバス
アダーラマンティル,2,リンバス
アダーラゲージ,2,リンバス
アダーラサラウィル,2,リンバス
アダーラクラッコー,2,リンバス
ムルジムツッケット,2,リンバス
ムルジムコラッツァ,2,リンバス
ムルジムマノポラ,2,リンバス
ムルジムコッシャレ,2,リンバス
ムルジムガンビエラ,2,リンバス
シェダルターバン,2,リンバス
シェダルマンティル,2,リンバス
シェダルゲージ,2,リンバス
シェダルサラウィル,2,リンバス
シェダルクラッコー,2,リンバス
ピエージェシャツ,2,ユニティ装束
アヤメシャツ,2,ユニティ装束
Ｉ．シールドシャツ,2,ユニティ装束
アプルルシャツ,2,ユニティ装束
マートシャツ,2,ユニティ装束
アルドシャツ,2,ユニティ装束
ジャコシャツ,2,ユニティ装束
ナジャシャツ,2,ユニティ装束
フラヴィリアシャツ,2,ユニティ装束
ヨランオランシャツ,2,ユニティ装束
シルヴィシャツ,2,ユニティ装束
オーラムアーメット,3,花鳥風月装備
オーラムキュイラス,3,花鳥風月装備
オーラムガントレ,3,花鳥風月装備
オーラムクウィス,3,花鳥風月装備
オーラムサバトン,3,花鳥風月装備
オラクルキャップ,3,花鳥風月装備
オラクルローブ,3,花鳥風月装備
オラクルグローブ,3,花鳥風月装備
オラクルブラコーニ,3,花鳥風月装備
オラクルピガッシュ,3,花鳥風月装備
エンキドゥキャップ,3,花鳥風月装備
エンキドゥハーネス,3,花鳥風月装備
エンキドゥミトン,3,花鳥風月装備
エンキドゥサブリガ,3,花鳥風月装備
エンキドゥレギンス,3,花鳥風月装備
ラムヘルム,3,連合軍戦績
ラムチェーンメイル,3,連合軍戦績
ラムマフラ,3,連合軍戦績
ラムブリーチズ,3,連合軍戦績
ラムソルレット,3,連合軍戦績
ラムサリット,3,連合軍戦績
ラムホーバーク,3,連合軍戦績
ラムダスタナ,3,連合軍戦績
ラムホーズ,3,連合軍戦績
ラムグリーヴ,3,連合軍戦績
パトローナスリング,3,連合軍戦績
クリムゾンベルト,3,連合軍戦績
テンプルピアス,3,連合軍戦績
フォックスピアス,3,連合軍戦績
ローズストラップ,3,連合軍戦績
グリフィンの爪,3,連合軍戦績
王立騎士団認印指輪,3,連合軍戦績
フォースアーメット,3,バストゥーク軍
フォースキュイラス,3,バストゥーク軍
フォースガントレ,3,バストゥーク軍
フォースクウィス,3,バストゥーク軍
フォースサバトン,3,バストゥーク軍
フォースハウベ,3,バストゥーク軍
フォースブリュネ,3,バストゥーク軍
フォースヘンツェ,3,バストゥーク軍
フォースショース,3,バストゥーク軍
フォースシュー,3,バストゥーク軍
アレスターマント,3,バストゥーク軍
ソニアプレクトラム,3,バストゥーク軍
シュトルムリポート,3,バストゥーク軍
ブルネックレス,3,バストゥーク軍
シールドカラー,3,バストゥーク軍
レクスタリオニス,3,バストゥーク軍
第四共和軍団マント,3,バストゥーク軍
コブラハット,3,ウィンダス軍
コブラコート,3,ウィンダス軍
コブラカフス,3,ウィンダス軍
コブラスロップス,3,ウィンダス軍
コブラピガッシュ,3,ウィンダス軍
コブラキャップ,3,ウィンダス軍
コブラハーネス,3,ウィンダス軍
コブラミトン,3,ウィンダス軍
コブラサブリガ,3,ウィンダス軍
コブラレギンス,3,ウィンダス軍
コブラクロシュ,3,ウィンダス軍
コブラローブ,3,ウィンダス軍
コブラグローブ,3,ウィンダス軍
コブラトルーズ,3,ウィンダス軍
コブラクラッコー,3,ウィンダス軍
エアリーズグリップ,3,ウィンダス軍
カプリコンロープ,3,ウィンダス軍
クロコダイルカラー,3,ウィンダス軍
クーガーペンダント,3,ウィンダス軍
アーシーベルト,3,ウィンダス軍
サムドラ,3,ウィンダス軍
連邦傭兵団長の護符,3,ウィンダス軍
ジャナッドヘルム,3,将領BF
ジャ・ゴ・バルバト,3,将領BF
ハバロヘッドギア,3,将領BF
オジエヘルム,3,ヴォイドウォッチ
オジエサーコート,3,ヴォイドウォッチ
オジエガントレット,3,ヴォイドウォッチ
オジエブリーチズ,3,ヴォイドウォッチ
オジエレギンス,3,ヴォイドウォッチ
アトスシャポー,3,ヴォイドウォッチ
アトスタバード,3,ヴォイドウォッチ
アトスグローブ,3,ヴォイドウォッチ
アトスタイツ,3,ヴォイドウォッチ
アトスブーツ,3,ヴォイドウォッチ
ルベウスバンド,3,ヴォイドウォッチ
ルベウスジャケット,3,ヴォイドウォッチ
ルベウスグローブ,3,ヴォイドウォッチ
ルベウススパッツ,3,ヴォイドウォッチ
ルベウスブーツ,3,ヴォイドウォッチ
トワイライトナイフ,3,トワイライト装備
トワイライトサイズ,3,トワイライト装備
トワイライトヘルム,3,トワイライト装備
トワイライトメイル,3,トワイライト装備
トワイライトプリス,3,トワイライト装備
黄昏の光輪,3,トワイライト装備
黄昏の帯,3,トワイライト装備
黄昏の羽衣,3,トワイライト装備
完璧な幸運の卵,3,蝕世のエンブリオ
ペアリソード,3,蝕世のエンブリオ
ペアリシールド,3,蝕世のエンブリオ
ナジの包帯,3,蝕世のエンブリオ
エーペトス,3,蝕世のエンブリオ
ザイアメクード,3,蝕世のエンブリオ
ザイアメペティ,3,蝕世のエンブリオ
ザイアメバズバンド,3,蝕世のエンブリオ
ザイアメシャルバル,3,蝕世のエンブリオ
ザイアメネール,3,蝕世のエンブリオ
雷槌,3,蝕世のエンブリオ
アプカルセプター,3,蝕世のエンブリオ
独鈷杵,3,蝕世のエンブリオ
天狗の葉団扇,3,蝕世のエンブリオ
天狗の隠れ蓑,3,蝕世のエンブリオ
共和プラチナ章,3,蝕世のエンブリオ
シビルスカーフ,3,蝕世のエンブリオ
上級近衛騎士カラー,3,蝕世のエンブリオ
チャックチャック,3,蝕世のエンブリオ
オシャシャの原論文,3,蝕世のエンブリオ
コーネリアの黒帯,3,蝕世のエンブリオ
プラチナモグベルト,3,蝕世のエンブリオ
ダッツボグナックル,3,蝕世のエンブリオ
ブードックスマスク,3,蝕世のエンブリオ
ブードックススーツ,3,蝕世のエンブリオ
マッグビフマスク,3,蝕世のエンブリオ
マッグビフスーツ,3,蝕世のエンブリオ
ファイターマスク,4,戦士
ファイターロリカ,4,戦士
ファイターマフラ,4,戦士
ファイタークウィス,4,戦士
ファイターカリガ,4,戦士
テンプルクラウン,4,モンク
テンプルシクラス,4,モンク
テンプルグローブ,4,モンク
テンプルホーズ,4,モンク
テンプルゲートル,4,モンク
ヒーラーキャップ,4,白魔道士
ヒーラーブリオー,4,白魔道士
ヒーラーミトン,4,白魔道士
ヒーラーパンタロン,4,白魔道士
ヒーラーダックビル,4,白魔道士
ウィザードペタソス,4,黒魔道士
ウィザードコート,4,黒魔道士
ウィザードグローブ,4,黒魔道士
ウィザードトンバン,4,黒魔道士
ウィザードサボ,4,黒魔道士
ワーロックシャポー,4,赤魔道士
ワーロックタバード,4,赤魔道士
ワーロックグローブ,4,赤魔道士
ワーロックタイツ,4,赤魔道士
ワーロックブーツ,4,赤魔道士
ローグボンネット,4,シーフ
ローグベスト,4,シーフ
ローグアームレット,4,シーフ
ローグキュロット,4,シーフ
ローグプーレーヌ,4,シーフ
ガラントコロネット,4,ナイト
ガラントサーコート,4,ナイト
ガラントガントレ,4,ナイト
ガラントブリーチズ,4,ナイト
ガラントレギンス,4,ナイト
カオスバーゴネット,4,暗黒騎士
カオスキュイラス,4,暗黒騎士
カオスガントレット,4,暗黒騎士
カオスフランチャー,4,暗黒騎士
カオスソルレット,4,暗黒騎士
ビーストヘルム,4,獣使い
ビーストジャック,4,獣使い
ビーストグローブ,4,獣使い
ビーストトラウザ,4,獣使い
ビーストゲートル,4,獣使い
コラルラウンドリト,4,吟遊詩人
コラルジュストコル,4,吟遊詩人
コラルカフス,4,吟遊詩人
コラルキャニオンズ,4,吟遊詩人
コラルスリッパー,4,吟遊詩人
ハンターベレー,4,狩人
ハンタージャーキン,4,狩人
ハンターブレーサー,4,狩人
ハンターブラッカエ,4,狩人
ハンターソックス,4,狩人
明珍桃形兜,4,侍
明珍胴丸,4,侍
明珍筒篭手,4,侍
明珍板佩楯,4,侍
明珍筒脛当,4,侍
乱波半首,4,忍者
乱波鎖帷子,4,忍者
乱波手甲,4,忍者
乱波袴,4,忍者
乱波脚絆,4,忍者
ドラケンアーメット,4,竜騎士
ドラケンメイル,4,竜騎士
ドラケンフィンガー,4,竜騎士
ドラケンブレー,4,竜騎士
ドラケングリーヴ,4,竜騎士
エボカーホーン,4,召喚士
エボカーダブレット,4,召喚士
エボカーブレーサー,4,召喚士
エボカースパッツ,4,召喚士
エボカーピガッシュ,4,召喚士
メガスケフィエ,4,青魔道士
メガスジュバ,4,青魔道士
メガスバズバンド,4,青魔道士
メガスシャルワー,4,青魔道士
メガスチャルク,4,青魔道士
コルセアトリコルヌ,4,コルセア
コルセアフラック,4,コルセア
コルセアガントリー,4,コルセア
コルセアトルーズ,4,コルセア
コルセアブーツ,4,コルセア
パペトリタージ,4,からくり士
パペトリトベ,4,からくり士
パペトリダスタナ,4,からくり士
パペトリチュリダル,4,からくり士
パペトリバブーシュ,4,からくり士
ダンサーティアラ,4,踊り子
ダンサーカザク,4,踊り子
ダンサーバングル,4,踊り子
ダンサータイツ,4,踊り子
ダンサートーシュー,4,踊り子
スカラーボード,4,学者
スカラーガウン,4,学者
スカラーブレーサー,4,学者
スカラーパンツ,4,学者
スカラーローファー,4,学者
ジオガレーロ,4,風水士
ジオチュニック,4,風水士
ジオミテーヌ,4,風水士
ジオパンツ,4,風水士
ジオサンダル,4,風水士
ルーニストバンド,4,魔道剣士
ルーニストコート,4,魔道剣士
ルーニストミトン,4,魔道剣士
ルーニストトラウザ,4,魔道剣士
ルーニストブーツ,4,魔道剣士
レイザーアクス,4,AF武器
バルバロイアクス,4,AF武器
マローダーナイフ,4,AF武器
ペーパーナイフ,4,AF武器
レイヴンサイズ,4,AF武器
フェンスデーゲン,4,AF武器
ペレグリン,4,AF武器
スナイプボウ,4,AF武器
ブレスドハンマー,4,AF武器
キャストワンド,4,AF武器
ビートセスタス,4,AF武器
ククルカンスタッフ,4,AF武器
オナーソード,4,AF武器
イモータルシミター,4,AF武器
安寿,4,AF武器
厨子王,4,AF武器
孫六兼元,4,AF武器
ターボストリンガー,4,AF武器
トランプガン,4,AF武器
ウォーフープ,4,AF武器
フィリエベル,4,AF武器
ダウザーワンド,4,AF武器
ベオルクソード,4,AF武器
ＦＴマスク+1,5,戦士
ＦＴロリカ+1,5,戦士
ＦＴマフラ+1,5,戦士
ＦＴクウィス+1,5,戦士
ＦＴカリガ+1,5,戦士
ＴＰクラウン+1,5,モンク
ＴＰシクラス+1,5,モンク
ＴＰグローブ+1,5,モンク
ＴＰホーズ+1,5,モンク
ＴＰゲートル+1,5,モンク
ＨＬキャップ+1,5,白魔道士
ＨＬブリオー+1,5,白魔道士
ＨＬミトン+1,5,白魔道士
ＨＬパンタロン+1,5,白魔道士
ＨＬダックビル+1,5,白魔道士
ＷＺペタソス+1,5,黒魔道士
ＷＺコート+1,5,黒魔道士
ＷＺグローブ+1,5,黒魔道士
ＷＺトンバン+1,5,黒魔道士
ＷＺサボ+1,5,黒魔道士
ＷＬシャポー+1,5,赤魔道士
ＷＬタバード+1,5,赤魔道士
ＷＬグローブ+1,5,赤魔道士
ＷＬタイツ+1,5,赤魔道士
ＷＬブーツ+1,5,赤魔道士
ＲＯボンネット+1,5,シーフ
ＲＯベスト+1,5,シーフ
ＲＯアームレット+1,5,シーフ
ＲＯキュロット+1,5,シーフ
ＲＯプーレーヌ+1,5,シーフ
ＧＬコロネット+1,5,ナイト
ＧＬサーコート+1,5,ナイト
ＧＬガントレ+1,5,ナイト
ＧＬブリーチズ+1,5,ナイト
ＧＬレギンス+1,5,ナイト
ＣＳバーゴネット+1,5,暗黒騎士
ＣＳキュイラス+1,5,暗黒騎士
ＣＳガントレット+1,5,暗黒騎士
ＣＳフランチャー+1,5,暗黒騎士
ＣＳソルレット+1,5,暗黒騎士
ＢＴヘルム+1,5,獣使い
ＢＴジャック+1,5,獣使い
ＢＴグローブ+1,5,獣使い
ＢＴトラウザ+1,5,獣使い
ＢＴゲートル+1,5,獣使い
ＣＨラウンドリト+1,5,吟遊詩人
ＣＨジュストコル+1,5,吟遊詩人
ＣＨカフス+1,5,吟遊詩人
ＣＨキャニオンズ+1,5,吟遊詩人
ＣＨスリッパー+1,5,吟遊詩人
ＨＴベレー+1,5,狩人
ＨＴジャーキン+1,5,狩人
ＨＴブレーサー+1,5,狩人
ＨＴブラッカエ+1,5,狩人
ＨＴソックス+1,5,狩人
明珍桃形兜改,5,侍
明珍胴丸改,5,侍
明珍筒篭手改,5,侍
明珍板佩楯改,5,侍
明珍筒脛当改,5,侍
乱波半首改,5,忍者
乱波鎖帷子改,5,忍者
乱波手甲改,5,忍者
乱波袴改,5,忍者
乱波脚絆改,5,忍者
ＤＣアーメット+1,5,竜騎士
ＤＣメイル+1,5,竜騎士
ＤＣフィンガー+1,5,竜騎士
ＤＣブレー+1,5,竜騎士
ＤＣグリーヴ+1,5,竜騎士
ＥＫホーン+1,5,召喚士
ＥＫダブレット+1,5,召喚士
ＥＫブレーサー+1,5,召喚士
ＥＫスパッツ+1,5,召喚士
ＥＫピガッシュ+1,5,召喚士
ＭＧケフィエ+1,5,青魔道士
ＭＧジュバ+1,5,青魔道士
ＭＧバズバンド+1,5,青魔道士
ＭＧシャルワー+1,5,青魔道士
ＭＧチャルク+1,5,青魔道士
ＣＯトリコルヌ+1,5,コルセア
ＣＯフラック+1,5,コルセア
ＣＯガントリー+1,5,コルセア
ＣＯトルーズ+1,5,コルセア
ＣＯブーツ+1,5,コルセア
ＰＴタージ+1,5,からくり士
ＰＴトベ+1,5,からくり士
ＰＴダスタナ+1,5,からくり士
ＰＴチュリダル+1,5,からくり士
ＰＴバブーシュ+1,5,からくり士
ＤＲティアラ+1,5,踊り子
ＤＲカザク+1,5,踊り子
ＤＲバングル+1,5,踊り子
ＤＲタイツ+1,5,踊り子
ＤＲトーシュー+1,5,踊り子
ＳＬボード+1,5,学者
ＳＬガウン+1,5,学者
ＳＬブレーサー+1,5,学者
ＳＬパンツ+1,5,学者
ＳＬローファー+1,5,学者
ウォリアーマスク,6,戦士
ウォリアーロリカ,6,戦士
ウォリアーマフラ,6,戦士
ウォリアークウィス,6,戦士
ウォリアーカリガ,6,戦士
メレークラウン,6,モンク
メレーシクラス,6,モンク
メレーグローブ,6,モンク
メレーホーズ,6,モンク
メレーゲートル,6,モンク
クレリクキャップ,6,白魔道士
クレリクブリオー,6,白魔道士
クレリクミトン,6,白魔道士
クレリクパンタロン,6,白魔道士
クレリクダックビル,6,白魔道士
ソーサラーペタソス,6,黒魔道士
ソーサラーコート,6,黒魔道士
ソーサラーグローブ,6,黒魔道士
ソーサラートンバン,6,黒魔道士
ソーサラーサボ,6,黒魔道士
デュエルシャポー,6,赤魔道士
デュエルタバード,6,赤魔道士
デュエルグローブ,6,赤魔道士
デュエルタイツ,6,赤魔道士
デュエルブーツ,6,赤魔道士
アサシンボンネット,6,シーフ
アサシンベスト,6,シーフ
アサシンアムレット,6,シーフ
アサシンキュロット,6,シーフ
アサシンプーレーヌ,6,シーフ
ヴァラーコロネット,6,ナイト
ヴァラーサーコート,6,ナイト
ヴァラーガントレ,6,ナイト
ヴァラーブリーチズ,6,ナイト
ヴァラーレギンス,6,ナイト
アビスバーゴネット,6,暗黒騎士
アビスキュイラス,6,暗黒騎士
アビスガントレット,6,暗黒騎士
アビスフランチャー,6,暗黒騎士
アビスソルレット,6,暗黒騎士
モンスターヘルム,6,獣使い
モンスタージャック,6,獣使い
モンスターグローブ,6,獣使い
モンスタートラウザ,6,獣使い
モンスターゲートル,6,獣使い
バードラウンドリト,6,吟遊詩人
バードジュストコル,6,吟遊詩人
バードカフス,6,吟遊詩人
バードキャニオンズ,6,吟遊詩人
バードスリッパー,6,吟遊詩人
スカウトベレー,6,狩人
スカウトジャーキン,6,狩人
スカウトブレーサー,6,狩人
スカウトブラッカエ,6,狩人
スカウトソックス,6,狩人
早乙女桃形兜,6,侍
早乙女胴丸,6,侍
早乙女筒篭手,6,侍
早乙女板佩楯,6,侍
早乙女筒脛当,6,侍
甲賀半首,6,忍者
甲賀鎖帷子,6,忍者
甲賀手甲,6,忍者
甲賀袴,6,忍者
甲賀脚絆,6,忍者
ウィルムアーメット,6,竜騎士
ウィルムメイル,6,竜騎士
ウィルムフィンガー,6,竜騎士
ウィルムブレー,6,竜騎士
ウィルムグリーヴ,6,竜騎士
サマナーホーン,6,召喚士
サマナーダブレット,6,召喚士
サマナーブレーサー,6,召喚士
サマナースパッツ,6,召喚士
サマナーピガッシュ,6,召喚士
ミラージケフィエ,6,青魔道士
ミラージジュバ,6,青魔道士
ミラージバズバンド,6,青魔道士
ミラージシャルワー,6,青魔道士
ミラージチャルク,6,青魔道士
コモドアトリコルヌ,6,コルセア
